Country,City,lat,lng,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM AQI Value,PM AQI Category
Japan,Tajimi,35.3328,137.1316,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
Japan,Takahagi,36.7192,140.7167,47,Good,1,Good,47,Good,1,Good,44,Good
Japan,Takahashi,34.7914,133.6164,36,Good,1,Good,36,Good,3,Good,34,Good
Philippines,Talacogon,8.4488,125.7869,37,Good,1,Good,19,Good,0,Good,37,Good
Russian Federation,Taldom,56.7333,37.5333,46,Good,1,Good,27,Good,1,Good,46,Good
United States of America,Tamiami,25.7556,-80.4016,64,Moderate,1,Good,18,Good,12,Good,64,Moderate
Israel,Tamra,32.8536,35.1978,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate
Philippines,Tantangan,6.6167,124.75,35,Good,1,Good,20,Good,0,Good,35,Good
Indonesia,Tarogong,-7.215,107.8856,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
Turkey,Tatvan,38.5022,42.2814,45,Good,0,Good,45,Good,0,Good,43,Good
United Kingdom of Great Britain and Northern Ireland,Yeovil,50.9452,-2.637,58,Moderate,1,Good,24,Good,7,Good,58,Moderate
China,Yuanping,38.7299,112.7134,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups
China,Yuncheng,35.0304,110.998,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
Belgium,Zaventem,50.8833,4.4667,58,Moderate,1,Good,29,Good,6,Good,58,Moderate
Belgium,Zemst,50.9722,4.4222,65,Moderate,1,Good,27,Good,8,Good,65,Moderate
China,Zhaozhou,37.7527,114.7775,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate
China,Zhongshan,22.5333,113.35,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
China,Zhongshan,34.943,105.8771,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
China,Zhuji,29.7169,120.2314,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
Mexico,Zinacantepec,19.2833,-99.7333,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
Russian Federation,Zmeinogorsk,51.1667,82.2,35,Good,1,Good,35,Good,0,Good,21,Good
Italy,Abbiategrasso,45.4,8.9167,69,Moderate,1,Good,37,Good,4,Good,69,Moderate
Côte d'Ivoire,Abidjan,5.3167,-4.0333,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups
United States of America,Acworth,34.0566,-84.6716,64,Moderate,2,Good,37,Good,8,Good,64,Moderate
United States of America,Adelphi,39.0017,-76.9649,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
United States of America,Alabaster,33.2198,-86.8225,80,Moderate,1,Good,18,Good,10,Good,80,Moderate
Russian Federation,Alagir,43.0333,44.2333,50,Good,1,Good,36,Good,1,Good,50,Good
Belgium,Alken,50.8761,5.3078,35,Good,1,Good,25,Good,3,Good,35,Good
