time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-05T19:04:00.122Z,19.8934,145.3039,127.4,5.3,mww,,51,4.65,0.94,us,us6000c5t3,2020-10-10T19:14:10.330Z,"Maug Islands region, Northern Mariana Islands",earthquake,6.4,4.7,0.061,26,reviewed,us,us
2020-10-05T19:01:27.311Z,-62.2962,-58.2894,10,5.1,mww,,65,0.184,1.25,us,us6000c5t4,2020-10-07T13:10:18.040Z,South Shetland Islands,earthquake,6.4,1.9,0.093,11,reviewed,us,us
2020-10-05T14:01:17.043Z,39.4728,141.9102,64.42,4.7,mb,,97,1.466,0.35,us,us6000c5pr,2020-10-05T17:08:47.040Z,"3 km W of Yamada, Japan",earthquake,8.7,7.9,0.12,21,reviewed,us,us
2020-10-05T13:03:34.158Z,-15.6294,167.8695,120.29,5.1,mb,,91,0.667,0.65,us,us6000c5p7,2020-10-05T17:06:46.040Z,"69 km NE of Norsup, Vanuatu",earthquake,8.2,3.9,0.072,62,reviewed,us,us
2020-10-05T11:03:15.699Z,-21.8537,169.6045,10,4.7,mb,,97,1.51,0.93,us,us6000c5n9,2020-10-05T11:32:00.040Z,southeast of the Loyalty Islands,earthquake,6.5,1.9,0.104,28,reviewed,us,us
2020-10-05T09:04:31.235Z,52.2107,158.8914,99.97,4.5,mb,,150,0.827,1.08,us,us6000c5mu,2020-10-05T10:07:47.040Z,"86 km SSE of Vilyuchinsk, Russia",earthquake,9.6,6.6,0.087,39,reviewed,us,us
2020-10-05T08:48:11.676Z,-54.5022,-132.9985,10,5.2,mb,,65,31.222,0.76,us,us6000c5ms,2020-10-05T09:06:51.040Z,Pacific-Antarctic Ridge,earthquake,6.5,1.9,0.048,144,reviewed,us,us
2020-10-05T07:30:50.634Z,2.3354,124.7296,213.42,4.8,mb,,55,3.059,0.84,us,us6000c5m9,2020-10-05T07:53:36.040Z,"95 km N of Manado, Indonesia",earthquake,7.7,7.1,0.066,71,reviewed,us,us
2020-10-05T07:12:02.985Z,-21.8618,169.744,10,5.2,mww,,85,1.638,0.62,us,us6000c5m0,2020-10-05T13:44:26.040Z,"195 km E of Tadine, New Caledonia",earthquake,7,1.9,0.098,10,reviewed,us,us
2020-10-05T04:39:23.482Z,-40.9358,-91.2401,10,4.5,mb,,248,14.224,0.55,us,us6000c5lj,2020-10-05T05:28:41.040Z,West Chile Rise,earthquake,10.4,2,0.127,18,reviewed,us,us
2020-10-05T03:07:48.752Z,-9.667,119.345,71.48,4.9,mww,,80,3.034,1.08,us,us6000c5l3,2020-10-05T03:23:48.040Z,"100 km W of Waingapu, Indonesia",earthquake,7.5,7,0.098,10,reviewed,us,us
2020-10-05T02:32:24.363Z,36.3021,140.8268,81.1,4.9,mb,,112,2.124,0.89,us,us6000c5l1,2020-10-05T12:25:05.640Z,"near the east coast of Honshu, Japan",earthquake,7.8,6.9,0.079,50,reviewed,us,us
2020-10-05T01:27:07.260Z,37.5599,-31.8138,10,5,mb,,104,12.853,0.63,us,us6000c5kz,2020-10-05T02:14:21.040Z,"209 km SSW of Lajes das Flores, Portugal",earthquake,12.9,1.9,0.069,67,reviewed,us,us
2020-10-05T01:10:12.857Z,-19.4391,-174.0583,10,4.9,mb,,86,3.919,1.22,us,us6000c5kq,2020-10-05T01:43:54.746Z,"51 km NE of Pangai, Tonga",earthquake,10.9,1.8,0.098,33,reviewed,us,us
2020-10-05T00:34:35.272Z,-31.3889,-178.8668,62.57,4.7,mb,,86,2.285,0.7,us,us6000c71l,2020-10-10T05:29:35.040Z,Kermadec Islands region,earthquake,10.6,6.9,0.133,17,reviewed,us,us
2020-10-04T23:20:55.484Z,-20.017,-173.1692,10,4.9,mb,,46,3.197,1.16,us,us6000c5k6,2020-10-10T22:24:52.040Z,"126 km E of Pangai, Tonga",earthquake,8.5,1.7,0.03,359,reviewed,us,us
2020-10-04T21:32:03.444Z,4.1988,-71.386,15.22,4.5,mb,,65,2.995,0.44,us,us6000c5jq,2020-10-05T05:01:13.040Z,"65 km S of Orocué, Colombia",earthquake,8.3,6,0.102,28,reviewed,us,us
2020-10-04T20:21:13.685Z,-5.982,-76.7276,35.01,4.7,mb,,139,4.355,0.56,us,us6000c5j3,2020-10-06T19:13:53.815Z,"27 km ENE of Moyobamba, Peru",earthquake,9.1,7.8,0.048,130,reviewed,us,us
2020-10-04T19:12:15.265Z,10.9775,-61.5217,51.53,4.8,mb,,84,1.155,1.02,us,us6000c5ip,2020-10-06T15:50:08.718Z,"30 km N of Petit Valley, Trinidad and Tobago",earthquake,6.4,6.8,0.034,275,reviewed,us,us
2020-10-04T18:16:53.854Z,13.6078,120.7662,121.85,5.6,mww,,27,3.933,0.82,us,us6000c5i4,2020-10-05T18:20:54.944Z,"12 km WSW of Tingloy, Philippines",earthquake,7.7,3.9,0.038,67,reviewed,us,us
